Date,High,Low,Open,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2016-01-04,744.0599975585938,731.2579956054688,743.0,741.8400268554688,3272800,741.8400268554688,741.8400268554688,741.8400268554688,741.8400268554688,0.0,0,0,0.0
2016-01-05,752.0,738.6400146484375,746.4500122070312,742.5800170898438,1950700,742.5800170898438,742.5800170898438,741.974570534446,741.8761239400724,0.0984465943736268,0,0,0.0
2016-01-06,747.1799926757812,728.9199829101562,730.0,743.6199951171875,1947000,743.6199951171875,743.6199951171875,742.273738640399,741.9611908267609,0.31254781363804796,0,0,0.0
2016-01-07,738.5,719.0599975585938,730.3099975585938,726.3900146484375,2963700,726.3900146484375,726.3900146484375,739.3857888236787,741.2016212570866,-1.815832433407877,0,0,0.0
2016-01-08,733.22998046875,713.0,731.4500122070312,714.469970703125,2450900,714.469970703125,714.469970703125,734.8556400744872,739.8976383032348,-5.041998228747616,0,0,0.0
2016-01-11,718.85498046875,703.5399780273438,716.6099853515625,716.030029296875,2090600,716.030029296875,716.030029296875,731.432801751285,738.7333646931685,-7.300562941883527,0,0,0.0
2016-01-12,728.75,717.3170166015625,721.6799926757812,726.0700073242188,2024500,726.0700073242188,726.0700073242188,730.4577482190911,738.1156399434636,-7.6578917243725755,0,0,0.0
2016-01-13,734.739990234375,698.6099853515625,730.8499755859375,700.5599975585938,2501700,700.5599975585938,700.5599975585938,725.0217935535461,736.2836573881041,-11.261863834557971,1,10,0.0
2016-01-14,721.9249877929688,689.0999755859375,705.3800048828125,714.719970703125,2225800,714.719970703125,714.719970703125,723.1487348534696,735.2317702327392,-12.083035379269631,1,20,141.5997314453125
2016-01-15,706.739990234375,685.3699951171875,692.2899780273438,694.4500122070312,3608100,694.4500122070312,694.4500122070312,717.93078528139,733.2424161827047,-15.311630901314743,-1,10,-131.89971923828125
2016-01-19,709.97998046875,693.4099731445312,703.2999877929688,701.7899780273438,2268100,701.7899780273438,701.7899780273438,714.9960930533815,731.7081509068335,-16.712057853451938,1,20,-151.39973958333258
2016-01-20,706.8499755859375,673.260009765625,688.6099853515625,698.4500122070312,3445000,698.4500122070312,698.4500122070312,711.9877147176815,730.0858026775749,-18.098087959893405,0,20,-184.79939778645758
2016-01-21,719.1900024414062,694.4600219726562,702.1799926757812,706.5900268554688,2412200,706.5900268554688,706.5900268554688,711.0063169245519,728.9396672716184,-17.933350347066494,0,20,-103.39925130208258
2016-01-22,728.1300048828125,720.1209716796875,723.5999755859375,725.25,2011800,725.25,725.25,713.5960774837243,728.7596835022712,-15.16360601854683,1,30,132.10052490234375
2016-01-25,729.6799926757812,710.010009765625,723.5800170898438,711.6699829101562,1711700,711.6699829101562,711.6699829101562,713.2458784703483,727.9260395709485,-14.68016110060023,-1,20,-150.3997802734375
2016-01-26,718.280029296875,706.47998046875,713.8499755859375,713.0399780273438,1331700,713.0399780273438,713.0399780273438,713.2084420261657,727.1998902273581,-13.991448201192384,1,30,-140.55981445312568
2016-01-27,718.2349853515625,694.3900146484375,713.6699829101562,699.989990234375,2194200,699.989990234375,699.989990234375,710.805087154931,725.8725780325784,-15.067490877647401,1,40,-307.99967447916515
2016-01-28,733.6900024414062,712.3499755859375,722.219970703125,730.9600219726562,2676400,730.9600219726562,730.9600219726562,714.4696207581538,726.1207460296554,-11.651125271501542,1,50,373.501063755582
2016-01-29,744.989990234375,726.7999877929688,731.530029296875,742.9500122070312,3474300,742.9500122070312,742.9500122070312,719.6478737488588,726.941685843186,-7.293812094327109,-1,40,427.00055803571445
2016-02-01,757.8599853515625,743.27001953125,750.4600219726562,752.0,5139200,752.0,752.0,725.5300785217936,728.1640426313232,-2.633964109529643,-1,30,914.200526646207
2016-02-02,789.8699951171875,764.6500244140625,784.5,764.6500244140625,6348100,764.6500244140625,764.6500244140625,732.6427959567516,729.9438466207251,2.6989493360264305,-1,20,2610.3017752511196
2016-02-03,774.5,720.5,770.219970703125,726.9500122070312,6171000,726.9500122070312,726.9500122070312,731.6077443658934,729.7978059176181,1.8099384482752612,-1,10,1917.902047293528
2016-02-04,727.0,701.8599853515625,722.8099975585938,708.010009765625,5168700,708.010009765625,708.010009765625,727.3172471658446,728.7349865931307,-1.417739427286051,-1,0,1143.701171875
2016-02-05,703.989990234375,680.1500244140625,703.8699951171875,683.5700073242188,5105700,683.5700073242188,683.5700073242188,719.3632035582763,726.5318168726959,-7.168613314419645,0,0,1143.701171875
2016-02-08,684.030029296875,663.0599975585938,667.8499755859375,682.739990234375,4247400,682.739990234375,682.739990234375,712.7044374993851,724.395630207412,-11.691192708026847,1,10,1143.701171875
2016-02-09,699.9000244140625,668.77001953125,672.3200073242188,678.1099853515625,3608900,678.1099853515625,678.1099853515625,706.4145371088719,722.1377938729803,-15.723256764108442,0,10,1097.401123046875
2016-02-10,701.3099975585938,682.1300048828125,686.8599853515625,684.1199951171875,2638000,684.1199951171875,684.1199951171875,702.3609840194747,720.283267104405,-17.922283084930314,0,10,1157.501220703125
2016-02-11,689.3499755859375,668.8679809570312,675.0,683.1099853515625,3024000,683.1099853515625,683.1099853515625,698.8608024434907,718.4699362871931,-19.609133843702466,0,10,1147.401123046875
2016-02-12,693.75,678.5999755859375,690.260009765625,682.4000244140625,2141400,682.4000244140625,682.4000244140625,695.8679337108674,716.7104283909429,-20.842494680075447,0,10,1140.301513671875
2016-02-16,698.0,685.0499877929688,692.97998046875,691.0,2520000,691.0,691.0,694.9828548543461,715.4562611523603,-20.473406298014197,0,10,1226.30126953125
2016-02-17,709.75,691.3800048828125,698.0900268554688,708.4000244140625,2492600,708.4000244140625,708.4000244140625,697.42234022884,715.1120544821995,-17.68971425335951,1,20,1400.301513671875
2016-02-18,712.3499755859375,696.030029296875,710.0,697.3499755859375,1883200,697.3499755859375,697.3499755859375,697.4091830210396,714.2456116092111,-16.836428588171543,-1,10,1161.5008544921875
2016-02-19,703.0809936523438,694.0499877929688,695.030029296875,700.9099731445312,1589300,700.9099731445312,700.9099731445312,698.0456903162199,713.5950926597145,-15.549402343494648,0,10,1161.5008544921875
2016-02-22,713.239990234375,702.510009765625,707.4500122070312,706.4600219726562,1949800,706.4600219726562,706.4600219726562,699.5755687992083,713.2470404310775,-13.671471631869167,0,10,1161.5008544921875
2016-02-23,708.4000244140625,693.5800170898438,701.4500122070312,695.8499755859375,2009300,695.8499755859375,695.8499755859375,698.8981882149773,712.3984031215584,-13.500214906581164,1,20,1162.43408203125
2016-02-24,700.0,680.780029296875,688.9199829101562,699.5599975585938,1963600,699.5599975585938,699.5599975585938,699.0185171865439,711.7721394355601,-12.753622249016189,0,20,1199.5343017578125
2016-02-25,705.97998046875,690.5850219726562,700.010009765625,705.75,1642200,705.75,705.75,700.2424231526269,711.4783765362645,-11.235953383637593,0,20,1261.434326171875
2016-02-26,713.4299926757812,700.8599853515625,708.5800170898438,705.0700073242188,2243500,705.0700073242188,705.0700073242188,701.12016572928,711.1657731600671,-10.045607430787186,-1,10,1348.701171875
2016-02-29,710.8900146484375,697.6799926757812,700.3200073242188,697.77001953125,2481100,697.77001953125,697.77001953125,700.511048238729,710.5123217635395,-10.001273524810472,-1,0,1275.7012939453125
2016-03-01,718.8099975585938,699.77001953125,703.6199951171875,718.8099975585938,2151400,718.8099975585938,718.8099975585938,703.8381299332499,710.9170864364689,-7.078956503219047,0,0,1275.7012939453125
2016-03-02,720.0,712.0,719.0,718.8499755859375,1629000,718.8499755859375,718.8499755859375,706.5675564155567,711.304056638882,-4.736500223325265,0,0,1275.7012939453125
2016-03-03,719.4500122070312,706.02001953125,718.6799926757812,712.4199829101562,1958000,712.4199829101562,712.4199829101562,707.6316339600294,711.358492066749,-3.7268581067196465,0,0,1275.7012939453125
2016-03-04,716.489990234375,706.02001953125,714.989990234375,710.8900146484375,1972100,710.8900146484375,710.8900146484375,708.2240668124672,711.3356395097583,-3.1115726972910807,0,0,1275.7012939453125
2016-03-07,708.0910034179688,686.9000244140625,706.9000244140625,695.1599731445312,2985100,695.1599731445312,695.1599731445312,705.8487770546607,710.5465826138935,-4.697805559232847,0,0,1275.7012939453125
2016-03-08,703.7899780273438,685.3400268554688,688.5900268554688,693.969970703125,2076300,693.969970703125,693.969970703125,703.6889940816542,709.7379673987341,-6.048973317079913,0,0,1275.7012939453125
2016-03-09,705.6799926757812,694.0,698.469970703125,705.239990234375,1421500,705.239990234375,705.239990234375,703.9709933821489,709.5185538785215,-5.5475604963726255,0,0,1275.7012939453125
2016-03-10,716.4400024414062,703.3599853515625,708.1199951171875,712.8200073242188,2833500,712.8200073242188,712.8200073242188,705.5799050079797,709.6796003880677,-4.099695380087951,0,0,1275.7012939453125
2016-03-11,726.9199829101562,717.125,720.0,726.8200073242188,1970800,726.8200073242188,726.8200073242188,709.4417417927505,710.5157177995873,-1.0739760068368014,0,0,1275.7012939453125
